,Activity,Per,variable,value
0,Household heating => 70F,hour ,solar powered  water heater,
1,Household heating < 70F,hour ,solar powered  water heater,
2,Use of heat pump,hour ,solar powered  water heater,
3,Use of air conditioner ,hour ,solar powered  water heater,
4,shower - short,activity,solar powered  water heater,1.2e-05
5,shower - long (> 3 min),activity,solar powered  water heater,1.7e-05
6,bath,activity,solar powered  water heater,8.8e-05
7,wash-up,activity,solar powered  water heater,4e-06
8,use of dishwasher,activity,solar powered  water heater,2.5e-05
9,use of clothes washer,activity,solar powered  water heater,3.3e-05
10,use of clothes dryer ,activity,solar powered  water heater,
11,use of cooking range,activity,solar powered  water heater,
12,use of  oven,activity,solar powered  water heater,
13,use of self-clean feature of electric oven,activity,solar powered  water heater,
14,Small kitchen applicance in the home,activity,solar powered  water heater,
15,TV/computer use,hour ,solar powered  water heater,
16,air travel - large plane,100 miles,solar powered  water heater,
17,air travel - small  plane (<50 seats) ,100 miles,solar powered  water heater,
18,car trips- self only,mile  ,solar powered  water heater,
19,car trips - driver and self,mile  ,solar powered  water heater,
20,car trips - 2+ people with multiple end points,mile  ,solar powered  water heater,
21,trips using public ground transportation,mile  ,solar powered  water heater,
22,bags of garbage disposed,per bag,solar powered  water heater,
23,bags of recycling deposited (negative CF),per bag,solar powered  water heater,
24,bags of compost deposited (negative CF),per bag,solar powered  water heater,
25,hazardous or electric items disposed,per item,solar powered  water heater,
26,large items disposed,per item,solar powered  water heater,
27,Household heating => 70F,hour ,gas water heater,
28,Household heating < 70F,hour ,gas water heater,
29,Use of heat pump,hour ,gas water heater,
30,Use of air conditioner ,hour ,gas water heater,
31,shower - short,activity,gas water heater,0.000102
32,shower - long (> 3 min),activity,gas water heater,0.000149
33,bath,activity,gas water heater,0.000254
34,wash-up,activity,gas water heater,4.2e-05
35,use of dishwasher,activity,gas water heater,0.000165
36,use of clothes washer,activity,gas water heater,0.000199
37,use of clothes dryer ,activity,gas water heater,
38,use of cooking range,activity,gas water heater,
39,use of  oven,activity,gas water heater,
40,use of self-clean feature of electric oven,activity,gas water heater,
41,Small kitchen applicance in the home,activity,gas water heater,
42,TV/computer use,hour ,gas water heater,
43,air travel - large plane,100 miles,gas water heater,
44,air travel - small  plane (<50 seats) ,100 miles,gas water heater,
45,car trips- self only,mile  ,gas water heater,
46,car trips - driver and self,mile  ,gas water heater,
47,car trips - 2+ people with multiple end points,mile  ,gas water heater,
48,trips using public ground transportation,mile  ,gas water heater,
49,bags of garbage disposed,per bag,gas water heater,
50,bags of recycling deposited (negative CF),per bag,gas water heater,
51,bags of compost deposited (negative CF),per bag,gas water heater,
52,hazardous or electric items disposed,per item,gas water heater,
53,large items disposed,per item,gas water heater,
54,Household heating => 70F,hour ,electric water heater - peak hours,
55,Household heating < 70F,hour ,electric water heater - peak hours,
56,Use of heat pump,hour ,electric water heater - peak hours,
57,Use of air conditioner ,hour ,electric water heater - peak hours,
58,shower - short,activity,electric water heater - peak hours,0.000232
59,shower - long (> 3 min),activity,electric water heater - peak hours,0.000354
60,bath,activity,electric water heater - peak hours,0.000412
61,wash-up,activity,electric water heater - peak hours,6.7e-05
62,use of dishwasher,activity,electric water heater - peak hours,0.000398
63,use of clothes washer,activity,electric water heater - peak hours,0.000433
64,use of clothes dryer ,activity,electric water heater - peak hours,
65,use of cooking range,activity,electric water heater - peak hours,
66,use of  oven,activity,electric water heater - peak hours,
67,use of self-clean feature of electric oven,activity,electric water heater - peak hours,
68,Small kitchen applicance in the home,activity,electric water heater - peak hours,
69,TV/computer use,hour ,electric water heater - peak hours,
70,air travel - large plane,100 miles,electric water heater - peak hours,
71,air travel - small  plane (<50 seats) ,100 miles,electric water heater - peak hours,
72,car trips- self only,mile  ,electric water heater - peak hours,
73,car trips - driver and self,mile  ,electric water heater - peak hours,
74,car trips - 2+ people with multiple end points,mile  ,electric water heater - peak hours,
75,trips using public ground transportation,mile  ,electric water heater - peak hours,
76,bags of garbage disposed,per bag,electric water heater - peak hours,
77,bags of recycling deposited (negative CF),per bag,electric water heater - peak hours,
78,bags of compost deposited (negative CF),per bag,electric water heater - peak hours,
79,hazardous or electric items disposed,per item,electric water heater - peak hours,
80,large items disposed,per item,electric water heater - peak hours,
81,Household heating => 70F,hour ,electric water heater - off peak hours,
82,Household heating < 70F,hour ,electric water heater - off peak hours,
83,Use of heat pump,hour ,electric water heater - off peak hours,
84,Use of air conditioner ,hour ,electric water heater - off peak hours,
85,shower - short,activity,electric water heater - off peak hours,0.000199
86,shower - long (> 3 min),activity,electric water heater - off peak hours,0.000312
87,bath,activity,electric water heater - off peak hours,0.000368
88,wash-up,activity,electric water heater - off peak hours,5.5e-05
